_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,HEATING_TYPE,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LOCKER_OR_STORAGE_ROOM,NO_BARRIERFREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,NO_OF_ELEVATORS,NO_OF_STOREYS,NO_OF_UNITS,NO_SMOKING_BUILDING,PARKING_TYPE,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_REGISTERED
6153,NONE,,YES,YES,Not Available,YES,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,154,11,2,14,154,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CANDO APARTMENTS LTD.,PRIVATE,4152874,NO,YES,NO,3875  SHEPPARD AVE E,YES,PAID,22,DOUBLE PANE,1960,2017
6154,NONE,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,25 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2,15,3,18,286,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,AMELIN PROPERTY MANAGEMENT,PRIVATE,4153763,NO,YES,NO,155  BALLIOL ST ,YES,PAID,12,DOUBLE PANE,1965,2017
6155,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,30,,,,,PRIVATE,4154711,,,,296  FINCH AVE W,,,18,DOUBLE PANE,1962,
6156,,,,, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,,,,4,30,,,,,PRIVATE,4154712,,,,300  FINCH AVE W,,,18,DOUBLE PANE,,
6157,NONE,Outdoor rec facilities,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,92,0,1,6,92,NO,Surface Parking,YES,,PRIVATE,4154713,NO,YES,NO,4979  BATHURST ST ,YES,FREE,18,DOUBLE PANE,1959,2017
6158,CENTRAL AIR,"Indoor pool , Sauna",YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,NO,YES,YES,0,2,2,7,84,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,CAPREIT,PRIVATE,4154733,NO,YES,NO,44  STUBBS DR ,YES,FREE,15,DOUBLE PANE,1974,2017
6159,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,,,0,4,24,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155230,,YES,,65  CLOVERHILL RD ,YES,FREE,3,DOUBLE PANE,1959,2018
6160,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,NO,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,51,YES,"Ground Level Garage , Surface Parking",NO,GORBAY COMPANY LIMITED,PRIVATE,4155236,NO,YES,NO,2  NEWHOLM RD ,NO,UNAVAILABLE,3,DOUBLE PANE,1956,2017
6161,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,30,0,4,37,NO,"Ground Level Garage , Surface Parking",YES,WESTSIDE STOREYS LIMITED,PRIVATE,4155262,NO,YES,NO,6  CROWN HILL PL ,NO,UNAVAILABLE,3,DOUBLE PANE,1954,2017
6162,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,NO,NO,NO,YES,NO,0,14,0,4,29,YES,Surface Parking,YES,TDL MANAGEMENT CO.,PRIVATE,4153786,NO,YES,NO,299  FORMAN AVE ,NO,UNAVAILABLE,15,DOUBLE PANE,1956,2017
6163,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,12,108,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153793,NO,NO,NO,485  EGLINTON AVE E,YES,FREE,15,DOUBLE PANE,1965,2017
6164,CENTRAL AIR,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,NO,YES,NO,2,4,2,11,81,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,CONTINUUM REIT SUB GP INC,PRIVATE,4153799,NO,YES,NO,77  ROEHAMPTON AVE ,YES,PAID,12,DOUBLE PANE,1989,2017
6165,NONE,,YES,NO,5 indoor parking spots and 5 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,2,0,4,35,YES,"Ground Level Garage , Surface Parking , Parking Deck",NO,RONCI MANGEMENT,PRIVATE,4155263,NO,YES,NO,7  CROWN HILL PL ,NO,FREE,3,DOUBLE PANE,1958,2017
6166,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,34,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155267,NO,YES,NO,10  HILL HEIGHTS RD ,NO,UNAVAILABLE,3,DOUBLE PANE,1954,2017
6167,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,1,39,1,5,49,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4155277,NO,YES,NO,323  PARK LAWN RD ,NO,FREE,3,DOUBLE PANE,1955,2018
6168,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,22,NO,"Ground Level Garage , Surface Parking",YES,GOLD SEAL MANAGEMENT INC.,PRIVATE,4155281,NO,YES,NO,168-170  BERRY RD ,YES,UNAVAILABLE,3,DOUBLE PANE,1956,2017
6169,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,1,0,4,16,NO,"Ground Level Garage , Surface Parking , Parking Deck",NO,,PRIVATE,4155287,NO,YES,NO,2  KINGS POINT DR ,NO,UNAVAILABLE,3,DOUBLE PANE,1954,2017
6170,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,5,45,NO,"Underground Garage , Garage accessible thru buildg",YES,,PRIVATE,4155294,NO,YES,NO,2655  BLOOR ST W,YES,UNAVAILABLE,3,DOUBLE PANE,1940,2017
6171,NONE,,YES,YES,12 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,72,0,1,6,72,YES,"Underground Garage , Garage accessible thru buildg",NO,,PRIVATE,4153810,NO,YES,NO,460  EGLINTON AVE E,YES,UNAVAILABLE,15,DOUBLE PANE,1959,2017
6172,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,YES,YES,YES,0,0,1,4,60,YES,"Ground Level Garage , Surface Parking",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4153818,NO,NO,NO,127  BROADWAY AVE ,YES,UNAVAILABLE,12,DOUBLE PANE,1950,2017
6173,NONE,Sauna,YES,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,16,65,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4153828,NO,NO,NO,15  ERSKINE AVE ,YES,FREE,15,DOUBLE PANE,1970,2017
6174,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,0,1,10,47,YES,"Underground Garage , Garage accessible thru buildg",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4153843,NO,NO,NO,100  BROADWAY AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1965,2017
6175,,,,NO, indoor parking spots and  outdoor parking spots,,Not Available,,,,,,,,,10,,,5,175,YES,,,,SOCIAL HOUSING,4155682,,,,338  FALSTAFF AVE ,,,5,DOUBLE PANE,1996,
6176,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room",YES,NO,19 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,YES,YES,NO,YES,0,4,3,27,306,NO,"Underground Garage , Garage accessible thru buildg",YES,CONCERT REALTY SERVICES LTD.,PRIVATE,4155687,YES,YES,NO,151  BEECROFT RD ,YES,PAID,18,DOUBLE PANE,2003,2017
6177,INDIVIDUAL UNITS,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,ELECTRIC,YES,NO,YES,YES,YES,0,8,4,29,277,NO,"Underground Garage , Garage accessible thru buildg",YES,TANDEM PROPERTY MANAGEMENT,PRIVATE,4156258,NO,YES,NO,4  FOREST LANEWAY  ,YES,PAID,18,DOUBLE PANE,1975,2017
6178,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,2,4,1,6,22,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",NO,TCH,TCHC,4156268,NO,NO,NO,49  GILDER DR ,YES,PAID,21,DOUBLE PANE,1970,2017
6179,CENTRAL AIR,"Outdoor pool , Indoor exercise room",YES,YES,30 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,YES,NO,YES,YES,3,0,3,24,168,NO,"Underground Garage , Garage accessible thru buildg",YES,CAPREIT,PRIVATE,4153342,NO,YES,NO,355  ST CLAIR AVE W,YES,FREE,12,DOUBLE PANE,1969,2017
6180,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,Not Available,NO,Recycling bins,YES,YES,ELECTRIC,YES,YES,YES,YES,NO,2,0,2,8,97,YES,Surface Parking,YES,AYKLER,SOCIAL HOUSING,4153350,NO,NO,NO,747  ST CLAIR AVE W,NO,UNAVAILABLE,12,DOUBLE PANE,1986,2017
6181,NONE,,YES,NO,28 indoor parking spots and 9 outdoor parking spots,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,0,2,8,96,NO,Underground Garage,YES,,PRIVATE,4153355,NO,YES,NO,291  AVENUE RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1956,2017
6182,NONE,,NO,NO,10 indoor parking spots and 20 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,24,NO,Ground Level Garage,YES,,PRIVATE,4153358,NO,YES,NO,320  AVENUE RD ,NO,UNAVAILABLE,12,DOUBLE PANE,1925,2017
6183,INDIVIDUAL UNITS,,YES,NO,7 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,7,52,YES,"Underground Garage , Garage accessible thru buildg",YES,AKELIUS CANADA LTD,PRIVATE,4153370,NO,YES,NO,263  RUSSELL HILL RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1960,2017
6184,INDIVIDUAL UNITS,,YES,NO,7 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,8,48,YES,"Underground Garage , Garage accessible thru buildg",YES,AKELIUS CANADA LTD,PRIVATE,4153371,NO,YES,NO,265  RUSSELL HILL RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1960,2017
6185,NONE,,YES,NO,0 indoor parking spots and 4 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,15,YES,Surface Parking,NO,,PRIVATE,4153844,NO,YES,NO,200  ERSKINE AVE ,YES,UNAVAILABLE,15,DOUBLE PANE,1961,2017
6186,NONE,Indoor recreation room,YES,YES,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,2,6,2,5,110,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4153867,NO,NO,NO,3179  YONGE ST ,YES,BOTH,15,DOUBLE PANE,1990,2017
6187,NONE,,NO,NO,Not Available,NO,Unknown,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,30,YES,Surface Parking,YES,,PRIVATE,4153872,NO,YES,NO,6  GLEN ECHO RD ,YES,UNAVAILABLE,15,DOUBLE PANE,1952,2017
6188,CENTRAL AIR,,YES,YES,15 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,YES,YES,YES,YES,0,1,2,17,95,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",YES,CROMWELL MANAGEMENT INC.,PRIVATE,4153873,NO,YES,NO,9  DEER PARK CRES ,YES,BOTH,12,DOUBLE PANE,1965,2017
6189,NONE,,NO,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,0,0,3,11,YES,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154360,NO,YES,NO,2620  KEELE ST ,NO,FREE,5,DOUBLE PANE,1984,2017
6190,NONE,,NO,NO,0 indoor parking spots and 6 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,14,0,3,11,YES,Surface Parking,YES,,PRIVATE,4154367,NO,YES,NO,827  WILSON AVE ,NO,FREE,6,DOUBLE PANE,1953,2017
6191,NONE,,NO,NO,0 indoor parking spots and 6 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,14,0,3,11,YES,Surface Parking,YES,,PRIVATE,4154375,NO,YES,NO,17  ANTHONY RD ,NO,FREE,6,DOUBLE PANE,1950,2017
6192,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,16,NO,Surface Parking,YES,NONE,PRIVATE,4154376,NO,YES,NO,939-941  WILSON AVE ,NO,FREE,6,DOUBLE PANE,1953,2017
6193,NONE,,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,3,50,NO,"Ground Level Garage , Surface Parking",YES,MARBROOK DEVELOPMENTS LTD. ,PRIVATE,4154381,NO,YES,NO,31  PAXTONIA BLVD ,YES,UNAVAILABLE,6,DOUBLE PANE,1964,2017
6194,NONE,,YES,YES,0 indoor parking spots and 8 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,2,4,102,YES,"Underground Garage , Ground Level Garage , Surface Parking , Parking Deck",YES,MINTO PROPERTIES INC.,PRIVATE,4154739,NO,YES,NO,16  THE LINKS RD ,YES,FREE,15,DOUBLE PANE,1963,2017
6195,CENTRAL AIR,,NO,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,NO,NO,YES,YES,YES,1,1,1,4,16,YES,Surface Parking,YES,CANADIAN HELEN KELLER CENTRE,SOCIAL HOUSING,4154751,NO,NO,NO,422  WILLOWDALE AVE ,YES,FREE,18,SINGLE PANE,1992,2017
6196,NONE,Indoor recreation room,YES,YES,Not Available,NO,Unknown,YES,YES,HOT WATER,YES,NO,YES,YES,NO,2,4,4,4,246,YES,Surface Parking,YES,,TCHC,4154755,NO,NO,NO,175  CUMMER AVE ,YES,BOTH,18,THERMAL,1970,2017
6197,NONE,"Indoor pool , Indoor recreation room",YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,3,28,218,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",YES,,PRIVATE,4154763,NO,YES,NO,5  DUFRESNE CRT ,YES,FREE,16,DOUBLE PANE,1968,2017
6198,CENTRAL AIR,"Indoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,NO,Not Available,YES,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,YES,0,48,5,36,540,NO,"Underground Garage , Garage accessible thru buildg",YES,WILSTAR MANAGEMENT LTD.,PRIVATE,4155303,NO,YES,NO,24  MABELLE AVE ,YES,FREE,3,DOUBLE PANE,1973,2017
6199,NONE,,YES,YES,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,42,42,1,5,42,YES,"Ground Level Garage , Surface Parking",YES,FREIMAN INVESTMENTS ,PRIVATE,4155309,NO,YES,NO,22  BURNHAMTHORPE RD ,YES,UNAVAILABLE,3,DOUBLE PANE,1959,2017
6200,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,4,5,2,12,162,YES,"Underground Garage , Garage accessible thru buildg",YES,TCH,TCHC,4155705,NO,NO,NO,2067  ISLINGTON AVE ,YES,PAID,1,SINGLE PANE,1973,2017
6201,NONE,,NO,YES,Not Available,NO,Recycling bins,YES,NO,HOT WATER,NO,NO,NO,YES,YES,0,0,0,3,11,YES,Ground Level Garage,NO,,PRIVATE,4167788,NO,NO,NO,25  GLEN EVEREST RD ,NO,FREE,20,DOUBLE PANE,1971,2017
6202,NONE,,NO,NO,20 indoor parking spots and 0 outdoor parking spots,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,6,0,3,18,NO,"Carport , Surface Parking",YES,TWO VIEW INVESTMENTS,PRIVATE,4152919,NO,YES,NO,29  JANE ST ,NO,UNAVAILABLE,4,DOUBLE PANE,1910,2017
6203,CENTRAL AIR,"Indoor recreation room , Indoor exercise room , Sauna",YES,YES,24 indoor parking spots and 0 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,YES,YES,NO,YES,0,3,2,10,103,NO,"Underground Garage , Garage accessible thru buildg",YES,VERTICA RESIDENT SERVICES,PRIVATE,4153379,NO,YES,NO,525  RICHMOND ST W,YES,UNAVAILABLE,10,DOUBLE PANE,2003,2017
6204,INDIVIDUAL UNITS,,NO,YES,15 indoor parking spots and 4 outdoor parking spots,NO,Recycling bins,YES,YES,FORCED AIR GAS,YES,YES,YES,YES,NO,5,0,3,7,76,YES,"Underground Garage , Garage accessible thru buildg",YES,FRED VICTOR CENTRE,SOCIAL HOUSING,4153395,NO,NO,NO,147  QUEEN ST E,YES,UNAVAILABLE,13,THERMAL,1900,2017
6205,NONE,Indoor recreation room,YES,YES,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,YES,YES,NO,1,6,2,7,180,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,TCHC,4153401,NO,NO,NO,168  JOHN ST ,YES,PAID,10,THERMAL,1979,2017
6206,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,6,55,YES,"Underground Garage , Garage accessible thru buildg",YES,IMPERRA GENERAL MANAGMENT,PRIVATE,4153894,NO,YES,NO,345  LONSDALE RD ,YES,UNAVAILABLE,12,DOUBLE PANE,1970,2017
6207,NONE,,NO,NO,6 indoor parking spots and 5 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,12,0,4,14,YES,"Ground Level Garage , Carport , Surface Parking",YES,,PRIVATE,4153908,NO,NO,NO,311  LONSDALE RD ,NO,FREE,12,DOUBLE PANE,1925,2017
6208,INDIVIDUAL UNITS,,NO,NO,7 indoor parking spots and 0 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,28,0,3,20,NO,Surface Parking,YES,JDM APARTMENTS INC,PRIVATE,4153915,YES,YES,NO,50  LAWTON BLVD ,NO,UNAVAILABLE,12,THERMAL,1915,2017
6209,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,NO,0,0,1,4,61,YES,Surface Parking,YES,,PRIVATE,4154383,NO,YES,NO,1265  WILSON AVE ,YES,FREE,6,DOUBLE PANE,1970,2017
6210,NONE,,YES,NO,Not Available,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,NO,0,12,0,3,12,YES,Parking Deck,NO,S & T INC,PRIVATE,4154402,NO,YES,NO,2219  JANE ST ,NO,UNAVAILABLE,6,DOUBLE PANE,1964,2017
6211,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,12,0,3,12,YES,Ground Level Garage,NO,THISTLE C.N.C LTD.,PRIVATE,4154413,NO,YES,NO,1  WANDLE AVE ,NO,UNAVAILABLE,6,DOUBLE PANE,1954,2017
6212,NONE,,YES,NO,Not Available,NO,Unknown,YES,YES,ELECTRIC,YES,NO,NO,YES,NO,0,0,1,4,54,NO,"Ground Level Garage , Surface Parking",YES,DAVPART INC,PRIVATE,4154417,NO,NO,NO,2808  KEELE ST ,YES,FREE,6,DOUBLE PANE,1950,2017
6213,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,1,3,30,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154420,NO,YES,NO,2868  KEELE ST ,YES,FREE,6,DOUBLE PANE,1959,2017
6214,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,FORCED AIR GAS,YES,NO,NO,YES,YES,0,0,0,3,11,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154421,NO,YES,NO,2866  KEELE ST ,NO,UNAVAILABLE,6,DOUBLE PANE,1955,2017
6215,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,43,1,4,40,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154779,NO,YES,NO,1061  DON MILLS RD ,YES,FREE,16,DOUBLE PANE,1960,2017
6216,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1,2,2,7,69,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154783,NO,YES,NO,1001  LAWRENCE AVE E,YES,FREE,16,DOUBLE PANE,1962,2017
6217,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,NO,YES,NO,1,2,2,7,76,NO,"Ground Level Garage , Surface Parking",NO,,PRIVATE,4154784,NO,YES,NO,18  THE DONWAY  E,YES,FREE,16,DOUBLE PANE,1963,2017
6218,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,YES,YES,YES,0,43,1,4,40,YES,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154786,NO,YES,NO,14  THE DONWAY  E,YES,FREE,16,DOUBLE PANE,1960,2017
6219,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,0,0,1,4,40,NO,"Ground Level Garage , Surface Parking",YES,,PRIVATE,4154789,NO,YES,NO,4  THE DONWAY  E,YES,FREE,16,DOUBLE PANE,1950,2017
6220,NONE,,YES,NO,0 indoor parking spots and 5 outdoor parking spots,YES,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,22,0,0,3,22,YES,Surface Parking,YES,O'SHANTER DEVELOPMENT COMPANY,PRIVATE,4154791,NO,YES,NO,46  FOXDEN RD ,NO,UNAVAILABLE,16,DOUBLE PANE,1958,2017
6221,NONE,,YES,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,3,11,NO,"Carport , Surface Parking",YES,,PRIVATE,4154797,NO,YES,NO,6  WINGREEN CRT ,YES,FREE,16,DOUBLE PANE,1965,2017
6222,NONE,,YES,NO,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,0,4,25,298,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4154804,NO,NO,NO,150  GRAYDON HALL DR ,YES,FREE,16,DOUBLE PANE,1970,2017
6223,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,18,NO,"Ground Level Garage , Surface Parking",YES,CASTLEHILL PROPERTY MANAGEMENT,PRIVATE,4155312,NO,NO,NO,313  THE KINGSWAY  ,YES,UNAVAILABLE,2,DOUBLE PANE,1970,2017
6224,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,24,0,3,38,NO,"Ground Level Garage , Carport , Surface Parking",YES,MARK & ROMA SAUNDERS,PRIVATE,4155316,NO,YES,NO,12  ANGLESEY BLVD ,NO,UNAVAILABLE,2,SINGLE PANE,1953,2017
6225,NONE,,NO,NO,Not Available,NO,Recycling bins,YES,NO,HOT WATER,YES,NO,NO,YES,NO,0,0,0,4,17,NO,Surface Parking,YES,CASTLEHILL PROPERTY MANAGEMENT,PRIVATE,4155320,NO,NO,NO,316  THE KINGSWAY  ,YES,UNAVAILABLE,2,DOUBLE PANE,1970,2017
6226,NONE,,NO,NO,Not Available,NO,Green Bin / Organics,YES,NO,HOT WATER,YES,NO,NO,YES,YES,0,0,0,4,22,NO,Ground Level Garage,YES,LAW PROPERTY MANAGEMENT,PRIVATE,4155336,NO,YES,NO,3  ANGLESEY BLVD ,NO,UNAVAILABLE,2,DOUBLE PANE,1954,2017
6227,CENTRAL AIR,"Indoor pool , Indoor exercise room , Sauna",YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,YES,0,1,3,20,234,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4155341,NO,YES,NO,39  RICHVIEW RD ,YES,FREE,2,SINGLE PANE,1972,2017
6228,NONE,Child play area,YES,YES,0 indoor parking spots and 10 outdoor parking spots,NO,Recycling bins,YES,YES,HOT WATER,YES,NO,NO,YES,YES,1,1,22,22,263,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,EAST WEST MANAGEMENT,PRIVATE,4155712,NO,YES,NO,44  VALLEY WOODS RD ,YES,FREE,16,DOUBLE PANE,1965,2017
6229,NONE,"Indoor recreation room , Indoor exercise room",NO,NO,0 indoor parking spots and 20 outdoor parking spots,NO,Green Bin / Organics,YES,YES,FORCED AIR GAS,YES,NO,YES,YES,NO,0,1,2,4,138,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",YES,,PRIVATE,4155734,NO,YES,NO,800  LANSDOWNE AVE ,YES,FREE,9,DOUBLE PANE,1992,2017
6230,NONE,,YES,YES,Not Available,NO,Green Bin / Organics,YES,YES,HOT WATER,YES,NO,YES,YES,NO,0,2,3,19,328,NO,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",YES,H&R PROPERTY MANAGEMENT,PRIVATE,4155927,NO,YES,NO,10  WILLOWRIDGE RD ,YES,FREE,1,DOUBLE PANE,1971,2017
